ts_day,num_accounts,rewards_hnt,date
1617926400,"6,011","147,567",4/9/2021
1618012800,"6,143","167,884",4/10/2021
1618099200,"5,934","160,141",4/11/2021
1618185600,"5,815","140,894",4/12/2021
1618272000,"6,173","148,403",4/13/2021
1618358400,"6,219","155,481",4/14/2021
1618444800,"6,261","151,338",4/15/2021
1618531200,"6,282","157,884",4/16/2021
1618617600,"6,241","127,731",4/17/2021
1618704000,"6,293","173,150",4/18/2021
1618790400,"6,311","160,741",4/19/2021
1618876800,"6,326","152,581",4/20/2021
1618963200,"6,269","107,986",4/21/2021
1619049600,"6,371","151,611",4/22/2021
1619136000,"6,357","141,620",4/23/2021
1619222400,"6,341","143,896",4/24/2021
1619308800,"6,334","150,468",4/25/2021
1619395200,"6,379","141,919",4/26/2021
1619481600,"6,509","115,854",4/27/2021
1619568000,"6,596","162,861",4/28/2021
1619654400,"6,654","152,435",4/29/2021
1619740800,"6,274","136,924",4/30/2021
1619827200,"6,621","164,919",5/1/2021
1619913600,"6,687","144,113",5/2/2021
1620000000,"6,717","138,574",5/3/2021
1620086400,"6,789","140,016",5/4/2021
1620172800,"6,723","149,271",5/5/2021
1620259200,"6,888","95,437",5/6/2021
1620345600,"7,128","160,069",5/7/2021
1620432000,"7,137","155,609",5/8/2021
1620518400,"7,029","146,299",5/9/2021
1620604800,"6,987","146,299",5/10/2021
1620691200,"7,022","135,400",5/11/2021
1620777600,"7,000","147,757",5/12/2021
1620864000,"7,034","140,803",5/13/2021
1620950400,"7,065","137,648",5/14/2021
1621036800,"7,240","169,914",5/15/2021
1621123200,"7,361","172,181",5/16/2021
1621209600,"7,402","158,310",5/17/2021
1621296000,"7,026","160,822",5/18/2021
1621382400,"7,198","158,655",5/19/2021
1621468800,"7,525","120,296",5/20/2021
1621555200,"7,898","155,273",5/21/2021
1621641600,"7,985","136,507",5/22/2021
1621728000,"7,994","134,194",5/23/2021
1621814400,"8,101","141,257",5/24/2021
1621900800,"8,270","144,194",5/25/2021
1621987200,"8,351","129,762",5/26/2021
1622073600,"8,445","118,891",5/27/2021
1622160000,"8,604","111,222",5/28/2021
1622246400,"8,782","113,134",5/29/2021
1622332800,"9,029","135,312",5/30/2021
1622419200,"9,228","129,081",5/31/2021
1622505600,"9,398","119,644",6/1/2021
